"maHang","tenHang","loaiHang","loaiVang","nhomHang","trangThai","tlTong","tlHot","tlVang","ni","congBan","congVon","giaBanMon","giaVon","cuaHang","quayLon","quayNho","ngayNhap"
"I6600001","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520527431"
"I6600002","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.452046331"
"I6600003","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520414699"
"I6600004","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520377315"
"I6600010","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520635069"
"I6600015","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520424768"
"I6600016","Vỉ  0.5c","TTM","Bạc",,"Còn tồn","0.5","0","0.5","0","109","50","0","191","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520612269"
"I6600018","Vỉ  1c","TTM","Bạc",,"Còn tồn","1","0","1","0","109","50","0","332","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520443287"
"I6600019","Vỉ  1c","TTM","Bạc",,"Còn tồn","1","0","1","0","109","50","0","332","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520508449"
"I6600020","Vỉ  1c","TTM","Bạc",,"Còn tồn","1","0","1","0","109","50","0","332","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.452062581"
"I6600022","Vỉ  1c","TTM","Bạc",,"Còn tồn","1","0","1","0","109","50","0","332","Phần Mềm Vàng","2HOANGKIM2","2BAC","46032.4520546644"
